id,value
id_0,6.415229695638992
id_1,18.26494837737163
id_2,22.224174890928992
id_3,8.88388396697897
id_4,27.193376164609273
id_5,21.345562703527598
id_6,22.828654637008157
id_7,31.050304747567047
id_8,15.829900298352312
id_9,61.33407861984235
id_10,14.876053923962443
id_11,11.979055705565882
id_12,66.77892550659931
id_13,50.83301992367188
id_14,20.44072132844689
id_15,11.25500285684346
id_16,31.84491437778479
id_17,68.36077340583559
id_18,-1.4698974688808484
id_19,18.006408564847455
id_20,40.22015403233897
id_21,72.16084339324183
id_22,9.134629306113524
id_23,18.270339148132663
id_24,15.230093463306009
id_25,36.83050500830112
id_26,16.549116778913316
id_27,73.81212343098495
id_28,9.6614034939253
id_29,55.39663027463541
id_30,24.19471525001172
id_31,6.697109055150175
id_32,2.969998460292395
id_33,22.357097528608772
id_34,29.21770717124271
id_35,38.362411209021985
id_36,44.47503425501621
id_37,30.229698554582917
id_38,41.616327605199146
id_39,33.398768895864016
id_40,7.45310659873949
id_41,40.87339567891389
id_42,32.029637738518126
id_43,49.36099073306457
id_44,16.59538949816281
id_45,34.90154300263252
id_46,25.78868818022689
id_47,10.180964842484475
id_48,22.998010615053666
id_49,30.720971442448395
id_50,19.52680627885891
id_51,9.616022703154513
id_52,20.522689534916946
id_53,53.47147682976548
id_54,14.555942726763718
id_55,39.01834226022189
id_56,32.76145803223021
id_57,21.838437399191744
id_58,57.42478375125239
id_59,21.1750597279748
id_60,13.925623380390501
id_61,40.38110421257901
id_62,12.3234815799804
id_63,49.35655888872114
id_64,16.649780289638358
id_65,14.626607690492982
id_66,15.282373934517707
id_67,0.003996143793912665
id_68,42.446919325736474
id_69,30.211833476791107
id_70,19.190762420404894
id_71,40.53750785228553
id_72,58.849162848027746
id_73,6.23026675002426
id_74,13.969226603651649
id_75,5.299725202605124
id_76,43.922442866064884
id_77,14.376362701629173
id_78,20.318581700832596
id_79,21.28660050980681
id_80,22.740974252020642
id_81,37.947331322339714
id_82,25.037663730635074
id_83,90.82508066011333
id_84,36.56475872965926
id_85,27.039350497973764
id_86,23.02072276409219
id_87,33.68926201492489
id_88,23.38415421672142
id_89,20.957465381862107
id_90,26.928737610358077
id_91,41.15439519911557
id_92,5.768213962852357
id_93,35.95252984871797
id_94,45.607818074684744
id_95,18.85566776553329
id_96,32.25277314987881
id_97,12.299478302852279
id_98,25.569786599658123
id_99,2.1934460495934465
id_100,17.47182520818248
id_101,27.15488387124575
id_102,12.72302627373795
id_103,16.41737801768102
id_104,23.62460425741469
id_105,39.76161898435025
id_106,29.130151113922487
id_107,5.587286734521356
id_108,9.229199618623605
id_109,75.74786154504991
id_110,48.605992460559875
id_111,16.29033099081513
id_112,27.23153963857429
id_113,14.24933771778754
id_114,11.528010768182082
id_115,26.116951156864097
id_116,27.93239011953207
id_117,8.376283188629486
id_118,17.629741917749378
id_119,19.72105151876841
id_120,80.24617694721402
id_121,22.58187966800323
id_122,35.04639847605367
id_123,25.957029345535123
id_124,6.200948569876918
id_125,34.31998936817333
id_126,8.128694016564758
id_127,19.363945679459604
id_128,26.84350954543379
id_129,62.282700080268015
id_130,19.42643956101875
id_131,21.344840526186857
id_132,59.73574753772469
id_133,15.459070636608956
id_134,13.903778702478814
id_135,1.556212257522965
id_136,10.434821825942425
id_137,58.41936671656037
id_138,22.237968551404258
id_139,4.979058655643092
id_140,32.34116710443264
id_141,26.25770132645466
id_142,47.36779400097956
id_143,35.03745128466147
id_144,16.4658982163765
id_145,26.723610399792996
id_146,14.414898963198485
id_147,52.24186017262595
id_148,23.717445159274366
id_149,38.91267221499348
id_150,11.891906161071034
id_151,7.5719634150255715
id_152,24.37301312083149
id_153,7.081032643056229
id_154,15.991056041931103
id_155,42.66892520408291
id_156,7.278485352029337
id_157,35.27671709175435
id_158,12.562649253394625
id_159,17.81913053008827
id_160,40.050562029834424
id_161,19.498511228729043
id_162,10.847636629994852
id_163,9.358625783897352
id_164,50.703418371213814
id_165,30.692320710554668
id_166,1.4611361697440266
id_167,14.742815925810838
id_168,66.41702384186631
id_169,13.956205019994416
id_170,65.85129825472612
id_171,41.97500337790191
id_172,25.697553473009336
id_173,22.029619338185952
id_174,61.3934247570949
id_175,25.684327289794904
id_176,20.087935046408717
id_177,35.8768168272544
id_178,11.077401640371857
id_179,30.805684279050755
id_180,15.598040625871668
id_181,11.05098646973663
id_182,53.94031302639178
id_183,45.00227572295489
id_184,16.3059614727913
id_185,35.871468635807545
id_186,26.026140780299002
id_187,68.43912321916807
id_188,8.890368524607643
id_189,54.68330179185739
id_190,39.209868416716695
id_191,19.478191056194476
id_192,29.77334116706122
id_193,1.6323286934293506
id_194,19.982563562761978
id_195,-0.12673257825855444
id_196,32.77155329567147
id_197,10.416511242557677
id_198,21.216575606311803
id_199,61.01193414403168
id_200,23.949347848782878
id_201,25.07065186459757
id_202,63.62685403531609
id_203,6.676360157823579
id_204,11.900478972732436
id_205,10.772606899477424
id_206,9.083234846830273
id_207,2.267440824213132
id_208,123.55917256118846
id_209,21.22000626703497
id_210,16.710376018795188
id_211,16.725552273295524
id_212,36.83300161089288
id_213,35.906791092122056
id_214,19.229825125769434
id_215,36.30038361852729
id_216,79.02440708245003
id_217,1.2132954445127346
id_218,13.299284248841706
id_219,34.151948212475396
id_220,15.04569256690348
id_221,12.133449258446678
id_222,113.12176366677957
id_223,13.815836396491768
id_224,17.154378372963507
id_225,61.997116539174186
id_226,14.576795073826874
id_227,23.337148713466107
id_228,10.436231098891023
id_229,3.698107248191029
id_230,46.60839401603059
id_231,12.55801572242235
id_232,51.69012302088571
id_233,42.45498761724242
id_234,21.25041168189598
id_235,40.95201297652883
id_236,69.69567091979114
id_237,41.37542825920243
id_238,12.742082925761409
id_239,16.771133234657533
